"soru_id","yil","ay","soru_no","soru_metni","secenek_A","secenek_B","secenek_C","secenek_D","dogru_cevap","kaynak"
"2018_2019_S02_21094324_soz","2018-2019","Mart","2","• Ateş, düştüğü yeri yakar. • Ayağını yorganına göre uzat. • Güneş balçıkla sıvanmaz. • Ağaç, yaprağıyla gürler. Aşağıdakilerden hangisi, bu atasözlerindeki altı çizili sözcüklerin karşıladığı anlamlardan biri değildir?","Gerçekler","Dert","Akraba","Meslek","B","21094324_sozel_mart_ayi_ornek_sorular_3"
"2018_2019_S03_21094324_soz","2018-2019","Mart","3","Desibel, ses şiddetini ölçmek için kullanılan bir birimdir. Uzmanlar, 85 desibel üzerindeki bir sesle sürekli karşı karşıya kalanlarda işitme bozukluğunun oluşabileceği konusunda hemfikir. Aşağıdaki grafikte canlı ve cansız bazı varlıkların çıkardığı seslerin desibeli gösterilmiştir. 0 dB 10 dB 20 dB 30 dB 40 dB 50 dB 60 dB 70 dB 80 dB 90 dB 100 dB 110 dB 120 dB 130 dB 140 dB Havai fişek Jet motoru Gök gürültüsü Trombon Helikopter Saç kurutma makinesi Kamyon Otomobil Konuşma Buzdolabı Yağmur Fısıltı Düşen yaprak Nefes DESİBEL (dB) Sessizlik Bu bilgi ve görselden hareketle aşağıdakilerin hangisine ulaşılamaz?","Helikopter sesinin desibeli, trombonunkinden düşüktür.","Jet motorunun sesine uzun süre maruz kalmak işitme bozukluğuna yol açabilir.","Düşen yaprağın ses şiddeti insan nefesininkinden yüksektir.","Kamyon ve otomobillerin geçtiği bir yolda durmak işitme kaybına neden olabilir.","C","21094324_sozel_mart_ayi_ornek_sorular_3"
"2018_2019_S04_21094324_soz","2018-2019","Mart","4","Varlıkların, okuyucunun gözünde canlanacak şekilde, resim çizer gibi anlatılması olarak tanımlanan betimleme, açıklayıcı ve sanatsal olmak üzere iki başlık altında incelenir. Açıklayıcı betimlemede varlıkların olduğu gibi tanıtılması amaçlanır, kişisel düşüncelere yer verilmez. Görsellikten çok, izlenim ve sezgilerin ağır bastığı sanatsal betimlemede ise yazar, anlatımına duygu ve yorumlarını da katar. Bu metne göre aşağıdakilerin hangisinde açıklayıcı betimleme yapılmıştır?","Gitgide kararan bulutsuz gökyüzünün altında, Dolmabahçe Sarayı’nın önündeki lokantanın terasında oturuyorduk. Lokantadaki bütün masalar doluydu. Arada bir geçmekte olan vapurların oluşturduğu dalgalar da olmasa durgundu deniz. Kıyıda bir çocuk, martılara ekmek atıyordu.","Mavinin değişik tonları ile boyanmış resimde farklı yollar çizilmişti: dağların arasından geçen bir patika, nehrin üzerine kurulu bir asma köprü, evlerin arasından büyük bir meydana uzanan Arnavut kaldırımları, uçsuz bucaksız çölde güneşe kadar uzanan gümüşten bir asfalt...","Gelinin başında sıra sıra altın ve incilerle süslenmiş bir fes vardı. İki demet sarı tel, yanaklarının üstüne çaresizce uzanıyordu. Onu bugünün hürmetine tahta bir iskemleye oturtmuşlardı. Şaşkın ve nemli gözlerle etrafı süzüyor fakat daha ziyade önüne bakarak bu anın bitmesini bekliyordu.","Vahanın altından, zeytinyağı renginde, elinizi sürseniz bulaşacağını sandığınız koyu bir çay akar. Çayın kenarında, yapraklarının ters tarafları rüzgârla güneşe dönünce parlayan narin kavaklar dizili, kof gölgeler serilidir. İncecik, yumuşak ve sık otlarla kaplı yamaçlar heybetli görünmeye çalışır.","B","21094324_sozel_mart_ayi_ornek_sorular_3"
"2018_2019_S05_21094324_soz","2018-2019","Mart","5","KULLANMA TALİMATI I. Bu ilaç, enfeksiyonların tedavisinde kullanılır ve enfeksiyona neden olan bakterileri etkisiz hâle getirir. II. İlaç toz hâlinde olduğundan ilaca, etiket üzerinde işaretli çizginin yaklaşık yarısına denk gelecek kadar su ekleyerek şişeyi iyice çalkalayınız. III. Deri yüzeyinin altında küçük noktalar şeklinde kırmızı yuvarlak beneklerin oluşması durumunda ilacı kullanmayı bırakınız. IV. Mide ve bağırsak rahatsızlıkları ihtimalini en aza indirmek için yemekten önce alınmalıdır. Aldığı ilacı nasıl kullanması gerektiğini bilmeyen bir kişi, kullanma talimatında numaralanmış ifadelerin hangilerine dikkat etmelidir?","I ve III.","I ve IV.","II ve III.","II ve IV.","A","21094324_sozel_mart_ayi_ornek_sorular_3"
"2018_2019_S06_21094324_soz","2018-2019","Mart","6","• Tüm dizelerin sonunda ses benzerliği vardır. • İnsan dışındaki bir varlığa insana ait özellik yüklenmiştir. • Bütün dizelerin hece sayıları eşittir. Aşağıdaki dörtlüklerden hangisi bu özelliklerin tümünü içerir?","İçimiz sevgi dolu, neşeler saçacağız Beyaz güvercin olup göklerde uçacağız Dünyaya, insanlığa barış dağıtacağız Bugün küçüğüz ama yarın büyüyeceğiz","Yuvası saçakta kalan kırlangıç Yavrusu dallara emanet serçe Derken camiler üstünde güvercin Minareler katından geçiyorum","Yürüyordum, ağlıyordu ırmaklar Yürüyordum, düşüyordu yapraklar Yürüyordum, sararmıştı yaylalar Yürüyordum, ekilmişti tarlalar","Yaşamak güzel şey doğrusu Üstelik hava da güzelse Hele gücün kuvvetin yerindeyse Elin ekmek tutmuşsa bir de","C","21094324_sozel_mart_ayi_ornek_sorular_3"
"2018_2019_S08_21094324_soz","2018-2019","Mart","8","Tokyo Üniversitesinde görev yapan Prof. Dr. Hidesaburo Ueno, 1924’te bir köpek yavrusu bulur ve onu sahiplenir. Köpeğe, Japoncada “sekizinci” anlamına gelen “Haçiko” adını koyar. Safkan akita cinsinden olan Haçiko, her sabah üniversiteye gitmek için evden metroya kadar yürüyen sahibine eşlik eder. Metronun dış kapısına kadar getirdiği sahibini uğurlayıp eve döner. Belli bir müddet sonra sahibinin eve dönüşünü de metronun önünde beklemeye başlayan Haçiko, bir yıl boyunca saati şaşırmaksızın her sabah, sahibini metroya kadar götürür; her akşam iş çıkışında da metronun önünde karşılar. Bir akşam Ueno, metrodan çıkmaz. Haçiko, gözleri metronun kapısında gece boyunca bekler. Bu bekleyiş dokuz yıl boyunca devam eder. Bugün Tokyo’ya gidenlerin Shibuya İstasyonu’nun kapısında karşılaştığı köpek heykeli Haçiko’ya aittir. Çünkü Japonlar, Haçiko’yu bir vefa sembolü olarak benimsemiştir. Bu metinde Haçiko ile ilgili aşağıdakilerden hangisine değinilmiştir?","Ne zaman doğduğuna","Heykelinin niçin dikildiğine","Çok zeki olduğuna","Adının neden Haçiko konduğuna","B","21094324_sozel_mart_ayi_ornek_sorular_3"
"2018_2019_S10_21094324_soz","2018-2019","Mart","10","Aşağıda sinema filmi yapımının, sırasıyla “Geliştirim”, “Yapım Öncesi”, “Yapım”, “Yapım Sonrası” ve “Dağıtım” başlıkları altında incelenen beş aşaması karışık olarak verilmiştir. I. Düzgün ve kolay bir film çekimi için iyi bir hazırlık gerekir. Bu aşamada senaryoya uygun oyuncular belirlenir, dekorlar ve kostümler hazırlanır. II. Filmin hangi sinemalarda, ne zaman gösterime gireceğine karar verilir ve belirlenen sinema salonlarında gösterimi tamamlandıktan sonra farklı ortamlarda satışı başlar. Bazı filmler de festivallere gönderilir. III. Çekimi tamamlanan sahneler bilgisayarda kurgulanır, filme görüntü ve ses efektleri ile müzik eklenir. Yapım ekibinin kontrolünden sonra film, izleyici ile buluşmaya hazır hâle gelir. IV. Her film bir fikirle başlar. Bu fikir; önce bir öyküye, sonra senaryoya ve daha sonra resimli taslağa dönüştürülür. Filmde, özel efektler ve fantastik ögeler kullanılacaksa bunları ekibin anlayacağı şekilde çizecek iyi bir ressama gereksinim duyulur. Daha sonra, masrafları üstlenecek bir yapımcı arayışına gidilir. V. Filmin bütün sahneleri, hazırlanan programa uygun şekilde çekilir. Bu sürecin sorunsuz geçmesi için görev dağılımının çok iyi yapılması gerekir. Bu aşamalar aşağıdakilerin hangisinde doğru sıralanmıştır?","Selanik ve Milliyetçilik","Selanik ve Milli Mücadele","Selanik ve Kültürel Zenginlik","Selanik’in Jeopolitik Konumu","C","21094324_sozel_mart_ayi_ornek_sorular_3"
"2018_2019_S01_21094400_soz","2018-2019","Şubat","1","Levent, yeni aldığı akvaryumda farklı türde balıklar besleyecektir fakat balıkların birbirine zarar vermesinden endişe etmektedir. Balıkları beslerken herhangi bir sorunla karşılaşmamak için bir araştırma yapmış ve aşağıdaki tabloya ulaşmıştır. Beta Çöpçü balığı Japon balığı Büyük kedi balığı Vatoz Gökkuşağı Beta Çöpçü balığı Japon balığı Büyük kedi balığı Vatoz Gökkuşağı E: Zarar Vermez H: Zarar Verir D: Zarar Verme İhtimali Vardır D D D D D D D D D D E E E E E E E E E E E H H H H H H E E E E E D D AKVARYUM UYUMLULUK TABLOSU D E Buna göre Levent’in aşağıdakilerin hangisinde verilen balıkları aynı akvaryumda beslemesi beklenir?","Beta - Gökkuşağı - Japon balığı","Büyük kedi balığı - Çöpçü balığı - Gökkuşağı","Çöpçü balığı - Japon balığı - Vatoz","Beta - Büyük kedi balığı - Vatoz","C","21094400_sozel_subat_ayi_ornek_sorular"
"2018_2019_S02_21094400_soz","2018-2019","Şubat","2","Cömertlik ve yardım etmede Akarsu gibi ol Şefkat ve merhamette Güneş gibi ol Başkalarının kusurunu örtmede Gece gibi ol Hiddet ve asabiyette Ölü gibi ol Tevazu ve alçak gönüllülükte Toprak gibi ol Hoşgörürlükte Deniz gibi ol Ya olduğun gibi görün Ya göründüğün gibi ol Aşağıdaki atasözlerinden hangisi Mevlâna’nın bu metindeki öğütlerinden herhangi biriyle ilgili değildir?","Öfkeyle kalkan, zararla oturur.","Sana taşla vurana sen ekmekle dokun.","Ağacın meyvesi olunca başını aşağı salar.","Baca eğri de olsa dumanı doğru çıkar.","C","21094400_sozel_subat_ayi_ornek_sorular"
"2018_2019_S03_21094400_soz","2018-2019","Şubat","3","Aşağıdaki tablolarda yangın türleri ve bu yangın türlerinde kullanılabilecek söndürme maddeleri gösterilmiştir. Hangi yangın türünde hangi söndürme maddelerinin kullanılabileceği “3” işareti ile belirtilmiştir. TÜRÜ MADDESİ ÖRNEK Yanıcı Gazlar Yanıcı Metaller ve Alaşımlar A, B, C ve D’deki Maddelerin Elektrik Gerilimi Altında Bulunması Yanıcı Sıvılar, Eriyen Katı Maddeler Katı, Esnemeyen Maddeler A B C D E Odun, kömür, ot, dokuma, plastik... Petrol, yağ, mum, polar çözücüler, solventler... Metan, propan, bütan, hidrojen, asetilen, doğal gaz, SPG/LPG... Alüminyum, magnezyum, uranyum... Motor, şalter, elektrik tesisatları... Su ✓ – – – – Köpük ✓ ✓ – – – ABC Tozu ✓ ✓ ✓ – – BC Tozu – ✓ ✓ – ✓ CO2 – ✓ ✓ – – Halon ve Alternatifleri – ✓ ✓ – – D Tozu – – – ✓ – SÖNDÜRME MADDELERİNİN YANGIN TÜRLERİNE GÖRE KULLANIM ŞEMASI YANGIN TÜRLERİ SÖNDÜRME MADDELERİ A B C D E YANGIN TÜRLERİ Bu tablolardan hareketle aşağıdaki olayların hangisinde yangın söndürme konusunda hatalı davranıldığı söylenebilir?","Bir petrol istasyonunun elektrik tesisatında çıkan yangına ABC tozu ile müdahale edilmesi","Doğal gaz depolama alanında çıkan yangına müdahale edilirken BC tozunun kullanılması","Mobilya atölyesinde çıkan bir yangına müdahale edilirken köpük kullanılması","Uranyum işleme tesisinde çıkan yangına D tozuyla müdahale edilmesi","D","21094400_sozel_subat_ayi_ornek_sorular"
